Average Domestic Airline Itinerary Fares By Origin City for 2013 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2023),2022 Passengers (10% sample),,,,,,,,,,,
79,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,377.44,493.68," 78,452 ",,,,,,,,,,,
80,ALB,Albany International,Albany,NY,433.52,567.04," 78,345 ",,,,,,,,,,,
81,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,419.25,548.36," 75,675 ",,,,,,,,,,,
82,SAV,Savannah/Hilton Head International,Savannah,GA,490.22,641.19," 74,039 ",,,,,,,,,,,
83,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,360.71,471.80," 72,280 ",,,,,,,,,,,
84,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,285.01,372.78," 67,891 ",,,,,,,,,,,
85,TYS,McGhee Tyson,Knoxville,TN,453.81,593.56," 64,333 ",,,,,,,,,,,
86,MYR,Myrtle Beach International,Myrtle Beach,SC,268.63,351.36," 62,925 ",,,,,,,,,,,
87,PNS,Pensacola International,Pensacola,FL,449.33,587.71," 60,511 ",,,,,,,,,,,
88,GSP,Greenville-Spartanburg International,Greer,SC,401.24,524.81," 59,223 ",,,,,,,,,,,
89,COS,City of Colorado Springs Municipal,Colorado Springs,CO,433.45,566.93," 58,992 ",,,,,,,,,,,
90,HPN,Westchester County,White Plains,NY,393.91,515.23," 58,461 ",,,,,,,,,,,
91,LIH,Lihue Airport,Lihue,HI,251.47,328.91," 58,367 ",,,,,,,,,,,
92,FAT,Fresno Yosemite International,Fresno,CA,408.68,534.54," 57,786 ",,,,,,,,,,,
93,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,400.86,524.32," 56,757 ",,,,,,,,,,,
94,MSN,Dane County Regional-Truax Field,Madison,WI,475.19,621.54," 55,194 ",,,,,,,,,,,
95,PWM,Portland International Jetport,Portland,ME,396.81,519.01," 54,716 ",,,,,,,,,,,
96,PSP,Palm Springs International,Palm Springs,CA,379.55,496.44," 52,936 ",,,,,,,,,,,
97,BZN,Bozeman Yellowstone International,Bozeman,MT,449.64,588.12," 50,546 ",,,,,,,,,,,
98,SFB,Orlando Sanford International,Sanford,FL,103.46,135.32," 47,740 ",,,,,,,,,,,
99,PIE,St Pete Clearwater International,St. Petersburg,FL,104.15,136.23," 47,279 ",,,,,,,,,,,
100,AVL,Asheville Regional,Asheville,NC,442.03,578.16," 46,964 ",,,,,,,,,,,
101,XNA,Northwest Arkansas National,Fayetteville,AR,516.00,674.91," 45,953 ",,,,,,,,,,,
102,EUG,Mahlon Sweet Field,Eugene,OR,369.16,482.85," 45,553 ",,,,,,,,,,,
103,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,403.31,527.52," 45,334 ",,,,,,,,,,,
104,GSO,Piedmont Triad International,Greensboro/High Point,NC,434.88,568.81," 44,373 ",,,,,,,,,,,
105,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,121.63,159.09," 40,373 ",,,,,,,,,,,
106,ISP,Long Island MacArthur,Islip,NY,302.32,395.42," 39,682 ",,,,,,,,,,,
107,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,408.98,534.94," 39,310 ",,,,,,,,,,,
108,MHT,Manchester Boston Regional,Manchester,NH,354.38,463.52," 39,250 ",,,,,,,,,,,
109,MDT,Harrisburg International,Harrisburg,PA,437.76,572.58," 39,114 ",,,,,,,,,,,
110,FSD,Joe Foss Field,Sioux Falls,SD,394.75,516.33," 37,951 ",,,,,,,,,,,
111,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,438.94,574.12," 36,064 ",,,,,,,,,,,
112,MAF,Midland International Air and Space Port,Midland/Odessa,TX,419.79,549.08," 35,477 ",,,,,,,,,,,
113,PGD,Punta Gorda Airport,Punta Gorda,FL,107.56,140.69," 34,911 ",,,,,,,,,,,
114,BTV,Burlington International,Burlington,VT,421.19,550.91," 34,302 ",,,,,,,,,,,
115,VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,508.27,664.81," 34,165 ",,,,,,,,,,,
116,LEX,Blue Grass,Lexington,KY,422.99,553.26," 33,204 ",,,,,,,,,,,
117,SBA,Santa Barbara Municipal,Santa Barbara,CA,466.95,610.75," 33,057 ",,,,,,,,,,,
118,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,544.86,712.67," 32,418 ",,,,,,,,,,,
119,DAY,James M Cox/Dayton International,Dayton,OH,373.92,489.07," 32,281 ",,,,,,,,,,,
120,ITO,Hilo International,Hilo,HI,232.29,303.83," 31,863 ",,,,,,,,,,,
121,MFE,McAllen International,Mission/McAllen/Edinburg,TX,403.32,527.53," 30,582 ",,,,,,,,,,,
122,SGF,Springfield-Branson National,Springfield,MO,423.94,554.50," 29,988 ",,,,,,,,,,,
123,ILM,Wilmington International,Wilmington,NC,435.53,569.66," 29,838 ",,,,,,,,,,,
124,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,396.51,518.62," 29,672 ",,,,,,,,,,,
125,MFR,Rogue Valley International - Medford,Medford,OR,401.98,525.78," 29,385 ",,,,,,,,,,,
126,FAR,Hector International,Fargo,ND,440.29,575.88," 28,922 ",,,,,,,,,,,
127,HVN,Tweed New Haven,New Haven,CT,407.52,533.02," 28,589 ",,,,,,,,,,,
128,RDM,Roberts Field,Bend/Redmond,OR,424.89,555.75," 28,485 ",,,,,,,,,,,
129,ATW,Appleton International,Appleton,WI,485.93,635.58," 28,471 ",,,,,,,,,,,
130,CAE,Columbia Metropolitan,Columbia,SC,494.09,646.26," 28,304 ",,,,,,,,,,,
131,ACY,Atlantic City International,Atlantic City,NJ,165.43,216.37," 27,914 ",,,,,,,,,,,
132,ECP,Northwest Florida Beaches International,Panama City,FL,423.40,553.80," 27,650 ",,,,,,,,,,,
133,LBB,Lubbock Preston Smith International,Lubbock,TX,398.26,520.91," 26,643 ",,,,,,,,,,,
134,FAI,Fairbanks International,Fairbanks,AK,556.08,727.34," 25,849 ",,,,,,,,,,,
135,CHA,Lovell Field,Chattanooga,TN,442.96,579.38," 25,231 ",,,,,,,,,,,
136,HRL,Valley International,Harlingen/San Benito,TX,350.76,458.79," 25,134 ",,,,,,,,,,,
137,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,412.88,540.03," 24,297 ",,,,,,,,,,,
138,FWA,Fort Wayne International,Fort Wayne,IN,408.39,534.16," 23,986 ",,,,,,,,,,,
139,SBN,South Bend International,South Bend,IN,375.59,491.27," 23,412 ",,,,,,,,,,,
140,TTN,Trenton Mercer,Trenton,NJ,199.36,260.75," 23,320 ",,,,,,,,,,,
141,STT,Cyril E King,Charlotte Amalie,VI,396.43,518.53," 22,552 ",,,,,,,,,,,
142,MSO,Missoula Montana,Missoula,MT,452.47,591.82," 22,036 ",,,,,,,,,,,
143,TLH,Tallahassee International,Tallahassee,FL,513.48,671.62," 21,803 ",,,,,,,,,,,
144,FNT,Bishop International,Flint,MI,367.80,481.08," 21,759 ",,,,,,,,,,,
145,BLI,Bellingham International,Bellingham,WA,233.76,305.75," 21,095 ",,,,,,,,,,,
146,BIL,Billings Logan International,Billings,MT,439.81,575.26," 21,002 ",,,,,,,,,,,
147,BQN,Rafael Hernandez,Aguadilla,PR,257.83,337.23," 20,914 ",,,,,,,,,,,
